Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244,Column245,Column246,Column247,Column248,Column249,Column250,Column251
venezuela,país,rico,mundo,financiara,informe,difundido,mañana,fondo,monetario,internacional,fmi,venezuela,país,rico,mundo,financiar,lastre,económico,suponer,formación,liderado,pablo,iglesia,venezolano,disfrutarir,producto,interno,bruto,443191,millón,dólares,situar él,país,catar,luxemburgo,presidente,república,bolivariana,venezuela,nicolás,maduro,comentado,escuetamente,dato,aportado,fmi,limitado,recordar,prioridad,país,capital,compromiso,valor,aprovechado,anunciar,inyección,adicional,34,millón,dólares,financiar,campaña,electoral,palabra,prioridad,insistido,importancia,ranking,españa,pablir,iglesia,atribuido,informe,fmi,ganas,desacreditar,fuerza,cambio,prometido,destinar,dinero,hacer,falta,querellar él,insinúar,partido,financiado,venezuela,ciudadanía,venezolano,preguntar,momento,pablir,iglesia,previsto,devolver,dinero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmi,pedir,españa,subir,baile,fondo,monetario,internacional,fmi,españa,margen,significativo,adoptar,medida,aparte,abaratamiento,despido,subida,iva,conclusión,preliminar,artículo,iv,españa,técnicos,fmi,proponer,gobierno,mariano,rajoy,suba,baile,fmi,plantear,necesidad,aprovechar,flexibilidad,proporcionado,reforma,laboral,2012,arrodillir,poquito,comar,abajo,potencial,fuente,ingreso,precisado,director,gerente,entidad,christinar,lagarde,jefe,misión,fondo,monetario,internacional,fmi,españa,helge,berger,pedido,esfuerzo,español,consistente,masajito,pies,tapita,jamón,llevar,mañana,avión,allá,quedado,habéis,tomado,nota,venir,currar,tomar,culo,contentita,tenéis,concluido,lagardar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soñar,dejar,gratis,septiembre,podidir,diario,ministerio,economía,estar,estudiar,imponer,tributo,soñar,ministro,haciendar,administración,público,cristóbal,montoro,aclarado,acerca,ajuste,gobierno,preparar,mes,septiembre,tránsito,fiscalidad,ámbito,imposición,indirecto,soñar,seguir,salir,gratis,necesidad,básico,artículo,lujo,comisión,europeo,criticar,medida,considerar,dirección,contrario,recomendación,unión,europea,partidario,gravar,tributación,vinculado,consumo,gravamir,sueño,viejo,aspiración,sector,empresarial,crisis,ir,convertir,necesidad,gobierno,posibilidad,impulsar,productividad,rendimiento,soñador,llegar,60%,inferior,trabajador,capaz,vivir,realidad,mantener,imaginación,raya,asegurar,presidente,patronal,juan,rosell,plan,estabilidad,presentado,ejecutivo,bruselas,cotización,sueño,aumentar,ingreso,año,décima,2016,2017,previsión,peso,pib,incremente,décimo,cristóbal,montoro,ayer,escorial,sueños,pagar,comparación,país,pagar,tener,pagar,soñar,roja,barato,fmi,comisión,europeo,mostrado,partidario,imponer,tasa,soñador,numeroso,ocasión,afectar,sueñen,triunfo,rojo,rafo,nadal,transmitido,presidente,baleares,josé,ramón,bauzá,deber,imponer,carga,fiscal,sueños,fomentar,aspiración,personal,incitar,anhelar,nivel,vida,futuro,ayer,bauzá,desayuno,informativo,sueño,colectivo,relacionado,deporte,deber,tributar,cabo,logro,ajeno,ciudadan,vivo,aspiración,producto,limitación,intelectual,cobrarl,soñador,tonto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tirar,30%,caro,2014,previsión,fondo,monetario,internacional,fmi,tirar,30%,caro,año,venir,españa,cumplir él,dato,anunciado,mañana,jefe,departamento,estudios,fmi,thoma,helbling,26%,español,2013,tragado,seguir,aguantar,echar,poner,carne,asador,joder él,mínimo,2018,español,año,ir,trampear,podido,venir,abajo,seguir,cargar,muerto,augura,christinar,lagarde,director,gerente,fmi,resultado,institución,importante,subida,índice,apechugamiento,habitante,llegar,66’4%,situar,alto,zona,euro,asimismo,banco,españa,confirmado,semana,entidad,financiero,ver él,pillada,carrito,helao,ir,escurrir,bulto,pasar,marrón,evitar,mierda,llegar,cuello,mediados,año,venir,actual,tasa,endeudamiento,llegar,polla,fmi,concluir,español,momento,alma,pasar,coronilla,mismísimo,pelota,recomendar,gobierno,tomar,medida,urgente,evitar,nivel,ciudadano,echar,hostia,superar,60%,menor,25,año,sector,clave,población,actualmente,joder él,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barça,aprovechar,noventa,minuto,descanso,roma,sentenciar,liga,girona,0-1,beti,jugador,beti,seguir,ganar,partido,consciente,clasificar,europa,leagar,año,venir,trabajar,hora,sevillar,2-2,villareal,partido,marcado,fastidiar,totalmente,quiniela,forzándome,escribir,crónica,semana,barcelona,2-1,valencia,catalán,llegar,fresco,partido,gracias,estrategia,descansar,noventa,minuto,roma,sentenciar,liga,imponer él,valencia,leganés,1-0,celta,leganés,año,ganar,partido,39,punto,celta,año,perder,partido,43,magia,futbol,palma,0-1,real,sociedad,canario,demostrar,gente,previsoro,asegurado,plaza,división,encontrar él,sorpresa,hora,athletic,2-3,deportivo,deportivo,manuel,fraga,futbol,dar,muerto,seguir,aferrar él,vida,eibar,0-1,alavés,partido,crear,afición,concreto,crear,afición,deporte,futbol,atlético,3-0,levante,atlético,sellar,matemáticamente,participación,próximo,edición,champions,ganar,broma,getafe,1-0,espanyol,encuentro,ver,claramente,necesidad,empezar,aplicar,tecnología,futbol,poder,simular,partido,necesidad,jugarlo,videojuego,málaga,1-2,real,madrid,real,madrid,conseguir,ganar,málaga,jugador,juventus,seguir,perseguir,protestar,árbitro,provocar,fluidez,centro,campo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,madrid,acerca,pasito,objetivo,cristiano,ronaldo,pichichi,levante,2-1,eibar,jugador,levante,seguir,año,competir,conocer,fernando,alonso,futbol,deportivo,1-1,palma,gallego,adaptar,método,seedorf,duda,revolucionario,jamás,ganar,partido,pasar,pasar,valencia,3-1,alavés,mestalla,volver,fiesta,año,venir,pedir,cabeza,marcelino,dimisión,presidente,ir,mercenario,jugador,dudar,afición,recordar,sábado,cariño,real,sociedad,1-2,getafe,jugador,real,levantar,cabeza,difícil,encontrar,compañero,desmarcado,deber,empezar,corregir,beti,3-0,espanyol,betis,afectar,jugar,lunes,conseguir,injusta,victoria,lejos,equipo,historia,futbol,leganés,2-1,sevilla,sevilla,resinteír,esfuerzo,ganar,manchester,united,old,trafford,martes,grupo,andaluz,inglaterra,volver,triunfador,barcelona,2-0,athletic,victoria,barça,ver,competidor,acortar,distancia,premio,pichichi,catalán,empezar,temporada,deshinchar,villareal,2-1,atlético,atlético,lucha,título,liga,afectar,absoluto,trofeo,importante,celta,0-0,málaga,crees,lunes,malo,recordar,gente,pagar,partido,real,madrid,6-3,girona,real,madrid,acercar,pasito,objetivo,temporada,cristiano,ronaldo,pichichi,importar,mínimo,hacer,liga,imposible,aficionado,blanco,eufórico,astro,portugués,convertir,máquín,gol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sentenciar,liga,español,barça,preparar,ganar,liga,belga,villareal,0-2,girona,girona,llevar,punto,encuentro,villareal,enviar,barça,demostrar,vecino,sevillar,2-0,athletic,sevilla,vivir,histórico,andaluz,esforzar,vasco,aficionado,bilbaíno,comenzar,sospechar,equipo,año,compuesto,dani,rovira,deportivo,1-1,eibar,jugador,deportivo,poner,empeño,incapaz,marcar,gol,portero,eibar,precioso,acto,fair,play,meter,empate,bonito,gesto,visitante,leganés,2-0,málaga,27,jornada,málago,sumar,13,punto,partido,avión,unicef,lanzar,punto,estadio,rosaledir,intentar,ayudar él,salir,pozo,real,madrid,3-1,getafe,madrid,conseguir,abultado,victoria,getafe,provocar,lesión,jugador,psg,levante,1-1,espanyol,espanyol,merecer,visita,valencia,equipo,quique,sánchez,flores,temporada,extraordinario,lamentablemente,ver,reflejado,clasificación,árbitro,maldito,malo,suerte,equipazo,perico,escapar,punto,deber,escapar,normal,afición,jugador,masa,social,general,histórico,club,estar,tabla,afortunadamente,futbol,resultado,amante,deporte,gritar,alto,suerte,jugar,espanyol,barcelona,1-0,atlético,barça,sentenciar,prácticamente,liga,gracia,valverde,ganar,partida,táctico,simeonir,atlético,salir,4-4-2,barça,salir,messi,catalán,preparar,reto,ganar,liga,belga,real,sociedad,2-1,alavés,real,conseguir,volver,sendo,victoria,gracias,actualización,google,maps,quedar,europa,buscador,esperar,suerte,valencio,2-0,betis,valencia,temporada,aficionado,empezar,silbar él,socio,llegado,pedir,destitución,pedir,marcha,entrenador,celta,palma,champions,jugar,martes,miércoles,empezar,semana,emoción,fuerte,deber,prohibir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descubrir,humano,incapaz,pitar,penalti,barça,gironar,3-0,leganés,catalanes,partido,protagonismo,llevar,cristiano,ronaldo,gol,psg,eliminatoria,prácticamente,sentenciado,palma,1-2,sevilla,sevillo,sumar,punto,importante,importante,victoria,real,madrid,psg,poner,pie,cuartos,champions,eibar,0-2,barcelona,local,reclamar,penalti,sergio,busquets,vano,descubierto,humano,incapaz,pitar,penalti,barça,anatomir,humano,permitir,introducir,aire,silbato,interior,área,culé,millón,año,evolución,humano,pitar,penalti,áreo,psg,gracios,definición,ronaldo,acercar,real,madrid,poquito,gloria,alavés,1-0,deportivo,alavés,seguir,racha,hablar,racha,real,madrid,europa,miércoles,alargar,ganar,psg,acercar,champions,consecutivo,málaga,1-2,valencia,valencia,ganar,2-1,málaga,parecido,resultado,obtener,real,madrid,psg,champions,3-1,prácticamente,r.,sociedad,3-0,levante,real,sociedad,aplastar,levante,casa,exactamente,real,madrid,neymar,cavani,mbappé,tocar,esperar,rival,ronda,seguir,dar,alegría,madridismo,atlético,2-0,athletic,atlético,madrid,continúar,vivo,lucha,título,liga,derrotar,athletic,bilbao,estadio,metropolitano,curiosamente,kilómetro,bernabéu,miércoles,real,madrid,ganar,psg,gol,ronaldo,espanyol,1-1,villarreal,reparto,punto,cornellà,equipo,sumar,gol,ronaldo,duelo,champions,psg,ganar,diferencia,beti,3-5,r.,madrid,real,madrid,volver,ganar,resultado,abultado,semana,psg,octavo,champions,obviamente,ronaldo,volver,marcar,volver,número,getafe,celta,partido,marcado,jugar,exhibición,real,madrid,bernabéu,psg,esperemo,nervio,jugador,capaz,espectáculo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psg,pedir,aplazar,partido,champions,gol,cristiano,ronaldo,athletic,0-0,palma,gastar él,32,millón,euros,defensa,iñigo,martínez,athletic,conseguir,mantener,portería,cero,quedar,gastar él,32,millón,delantero,empezar,ganar,partido,villarreal,1-2,alavés,puesto,bajo,tabla,alavés,llevar,punto,campo,villareal,directiva,local,totalmente,desolado,anunciado,dejar,comprar,jugador,mercadonar,barato,salgan,málaga,0-1,atlético,atleti,marcar,gol,40,segundo,empezar,partido,madrileño,asegurar,pasar,malagueño,tratar,quitar él,importancia,decir,tanto,gente,mirar,normal,poner él,nervioso,probable,equipo,volver,jugar,junto,leganés,0-1,eibar,ganar,leganés,eibar,empezar,mirar,europa,dejar,recomendarl,selva,negro,suroeste,alemania,mont,saint-michel,norte,francia,r.,madrid,5-2,r.,sociedad,golear,equipo,vasco,aficionado,madrid,consciente,palizar,meter,pobre,francés,venir,miércoles,histórico,psg,solicitado,aplazamiento,partido,gol,cristiano,ronaldo,sentir,preparado,afrontar,vendaval,blanco,sevillar,1-0,girona,sergio,rico,portero,sevilla,vestir,superhéroe,salvar,partido,principio,raro,aficionado,entend,llevar,malla,ajustado,calzoncillo,medida,pasar,minuto,acabar,acostumbrar,momento,complicado,portero,producir,encuentro,duchar él,cambiar él,pequeño,cabín,teléfono,compañero,hacer,vestuario,barcelona,0-0,getafe,afición,barça,pasar,90,minuto,silencio,evitar,piqué,mandar,callar,molestar,celebración,gol,jugador,catalán,optar,siquiera,intentar,marcar,gol,bonito,gesto,conciliación,celta,2-2,espanyol,espanyol,cornellà,conseguir,sacar,empate,minuto,final,celta,porriño,valencia,3-1,levante,mestalla,llenar,derbi,valenciano,grado,contar,55000,aficionado,300,kilo,cocaína,250000,pastilla,metanfetamín,deportivo,betis,noche,debuto,clarence,seedorf,entrenador,deportivo,coruñar,éxito,gestión,incógnitar,gallego,caso,órden,negro,,,,,,,,,,,,
arqueólogo,encontrar,vestigio,penalti,pitado,barça,athletic,1-1,eibar,empate,equipo,vasco,llevar,punto,árbitro,cojón,decirl,tener,repartir,deportivo,2-2,levante,gallego,estar,punto,salir,descenso,acostumbrado,ver él,tabla,entrar,vértigo,dejar,empatar,gol,minuto,valencio,1-4,r.,madrid,real,madrid,volver,equipo,aterrorizo,europa,demostrar,árbitro,pitar,penalti,descanso,málagar,0-0,girona,dios,centrado,liga,brasileño,olvidar,ayudar,jugador,partido,marcar,gol,público,acudir,estadio,casa,decepcionado,villarreal,4-2,r.,sociedad,villareal,volver,ganar,querer,quitar él,cuarto,plaza,real,madrid,suerte,tribunal,constitucional,vigilar,caso,leganés,3-2,espanyol,mario,hermoso,marcar,gol,portar,portería,rival,llegar,casa,acostar,vecino,sacar,paseo,tostadora,sentar,tele,mirar,sofá,atlético,3-0,palma,victoria,local,aficionado,celebrar,hora,provocar,enorme,retención,salido,estadio,sevillar,1-1,getafe,notar,falta,concentración,partido,jugador,sevilla,jugar,pensar,copa,jugador,getafe,jugar,pensar,unificación,fuerza,naturaleza,barcelona,2-1,alavés,remontado,barcelona,indignado,mitad,país,reclamado,catalán,pitar,penalti,año,pitar,jugador,barça,correr,erguido,celta,betis,partido,retrasado,jornada,prever,duelo,vistoso,verde,betis,pegar,celestir,vigués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,madrid,ir,jugarar,primero,parte,único,rival,ser,deportivo,getafe,2,-2,athletic,gladiador,madrileño,conseguir,empatar,león,coliseum,haber,haber,público,probablemente,haber,perdonar,vida,espanyol,0-3,sevillar,jugador,espanyol,acusar,esfuerzo,partido,copa,ganar,barça,concreto,acusar,esfuerzo,realizar,mañana,celebración,atlético,1-1,girona,decepcionante,partido,simeonir,conseguir,volver,casa,estadio,wanda,metropolitano,dudar,aficionado,atlético,mostrar,trist,villarreal,2-1,levante,villareal,ganar,facilidad,levante,derbi,valenciano,jugador,celebrar,ingerir,tipo,producto,hacendado,palma,2-1,valencia,valencia,40,punto,escapar,liga,canarias,real,madrid,cuarto,35,punto,único,equipo,disputar,campeonato,barça,alavés,2-2,leganés,millón,persona,alucinar,partido,dar él,alavés,leganés,jugando,división,real,madrid,7-1,deportivo,local,marcar,gol,resistir,jornada,anterior,quedar,repartirlo,equitativamente,partido,hacer él,puesto,real,sociedad,1-2,celta,extraño,partido,vivido,anoeta,demostrar,racista,iago,aspa,pasar,balón,jugador,negro,campo,independientemente,camiseto,llevar,puesto,gesto,futbolista,gallego,beti,0-5,barcelona,leo,messi,demostrar,jugador,historia,gracias,gol,undécimo,clasificado,campeonato,eibar,málago,nota,estómago,nervio,quedar,hora,espectáculo,deportivo,año,eibar,málaga,jordán,iturrra,arbilla,recio,estar,soñar,partido,abierto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,madrid,proclamar,campeón,invierno,gracias,mayoría,punto,silencioso,getafir,1-0,málacer,jugador,local,cortar,cabeza,entrenador,visitante,míchel,vuelto,natural,sonar,gironar,6-0,palma,equipo,palma,llevar,gol,girona,suerte,agent,aduán,dejar,pasar,derrota,parecer,abultado,llegada,casa,real,madrid,0-1,villareal,villareal,ganar,historia,bernabéu,único,equipo,faltar,ganar,bernabéu,real,madrid,eibar,0-1,atlético,madrid,aficionados,necesitar,reanimación,cardiaco,partido,oblak,portero,visitante,parar,sueño,espectador,deportivo,1-2,valencia,portero,local,demostrar,hospitalidad,gallego,regalar,gol,rival,insistir,delantero,rival,marcarar,estómago,lleno,negar,acabar,encuentro,tomar,chupito,poweradir,cortesía,casa,levante,0-1,celta,delantero,celta,iago,aspa,acusado,racismo,jugador,local,jefferson,lerma,asegurar,llamar,negro,mierda,justo,jugador,gallego,sacar,foto,pionir,sisto,único,jugador,negro,plantilla,celta,demostrar,asco,tocar él,departamento,prensa,vigués,volver,alavés,1-0,sevillar,vasco,aprovechar,equipo,sevillano,mermado,plaga,peste,asolo,ciudad,imponer,facilidad,abran,puerto,jugador,sevillista,volver,casa,espanyol,1-1,athletic,rumor,acerca,marcha,equipo,inglés,entrenador,local,quique,sánchez,flores,tranquilizar,afición,mostrar,firme,compromiso,espanyol,asegurar,seguir,equipo,presidente,echar,par,semana,real,sociedad,2-4,barcelona,barça,ganar,anoeto,año,catalanes,19,punto,real,madrid,blanco,proclamado,campeón,invierno,gracias,mayoría,punto,silencioso,betis,leganés,mundo,noche,andaluz,madrileño,jugar,duodécima,plazar,clasificación,partido,apto,cardiaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,madrid,intentar,fichar,punto,lugar,jugador,mercado,invierno,atlético,2-0,getafe,árbitro,munuero,montero,expulsar,diego,costa,abrazar él,público,demostrar,enorme,falta,espíritu,navideño,colegiado,amonestar,jugador,atlético,abrazar él,abrazo,gustar,casa,montero,mostrar,debilidad,valencia,2-1,girona,valencia,volver,senda,triunfo,gracia,google,maps,guiar,campo,portería,rival,palma,1-2,eibar,eibar,acerca,europa,gracias,victoria,aficionado,empezado,bicicleta,ejemplo,tolerancia,cero,corrupción,politico,sevillar,3-5,beti,derbi,sevillano,pasar,historia,enorme,cantidad,gol,delantero,productivo,trabajar,campo,andaluceír,expulsión,árabe,leganés,1-0,real,sociedad,leganés,temporada,ensueño,sumir,punto,real,madrid,empezar,pensar,champions,barcelona,3-0,levante,punto,catalán,separar,empezar,meter,gente,cárcel,solucionar él,villareal,1-1,deportivo,gallego,conseguir,sumar,punto,jugador,tener,utilizar,dedo,visita,castellón,éxito,semana,venir,tratar,multiplicación,cifra,athletic,2-0,alavés,jugador,local,yeray,volver,convocatoria,superar,enfermedad,cura,cáncer,vasco,celta,2-2,real,madrid,quedar él,16,punto,barcelona,florentino,pérez,anunciado,mercado,invierno,lugar,jugador,equipo,intentar,fichar,punto,liga,aspirar,título,málaga,espanyol,duelo,reservado,lunes,ver,mil,millón,chino,país,asiático,paraliza,málaga-espanyol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barça,superar,palo,guardia,civil,temporada,sevillar,0-0,levante,equipo,ahorrar,gol,afrontar,gasto,extra,époco,año,comprar,regalo,hijo,athletic,0-0,r.,sociedad,vasco,empatar,cero,vergüenza,gente,región,terminar,partido,volver,jugar,gol,espectáculo,federación,español,contabilizar,resultado,eibar,2-1,valencia,eibar,sorpresa,sumar,punto,frente,valencia,jugador,local,ayuda,pizarrir,calculadoro,conseguir,operación,éxito,ejemplo,niño,atlético,1-0,alavés,niño,torre,victoria,atlético,madrid,justo,salir,correr,teatro,real,madrid,viernes,cantar,premio,loteer,girona,1-0,getafe,girón,ganar,partido,empezar,alto,clasificación,seguir,tocar,cojón,acabar,jugar,partido,soto,real,celta,0-1,villarreal,partido,raro,vigo,estadio,balaídos,empezar,trasladado,ciudad,encuentro,despistar,jugador,palma,2-2,espanyol,palma,punto,remontado,histórico,fallo,penalti,suspiro,alejar,libro,historia,agradecer,futuro,generación,costar,memorizar,nombre,jugador,aprobar,examir,selectividad,complicado,barcelona,4-0,deportivo,balones,estrellar,ayer,madera,barcelona,conseguido,superar,palo,guardia,civil,temporada,messi,año,14,palo,superado,registro,policía,nacional,mossos,d’esquadra,temporada,2011/2012,málaga,beti,equipo,andaluz,hablar,partido,decidir,jugar,quedar él,descansar,empezar,frío,leganés,r.,madrid,real,madrid,jugar,jornada,ocupado,ganar,sexto,campeonato,mundo,equipo,blanco,creer,jugar,partido,importante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guardia,civil,300,gol,messi,huesca,trescientos,gol,jugador,futbol,club,barcelona,lionel,messi,llegado,lunes,15:30,horas,estadio,alcoraz,huesca,decena,vehículo,guardia,civil,presentado,mañana,museo,barça,técnico,aragonés,deber,efectuar,traslado,doscientos,aficionado,equipo,catalán,protestado,puerta,museo,madrugada,conseguido,evitar,pérdida,tanto,presidente,equipo,oscense,agustín,lasaós,mostrado,encantado,recibir,obra,arte,lamentado,prensa,golazo,messi,getafe,temporada,2006/2007,extraviado,conservación,gol,adecuado,confiamo,jugador,conseguir,reproducir él,llegada,trescientos,gol,sociedad,deportivo,huesca,conseguir,subir,clasificado,octavos,champions,leagar,aficionado,equipo,oscense,entusiasmado,13,gol,jugador,argentino,marcar,zaragoza,pertenecer,huesca,demostrado,equipo,aragón,declarar,seguidor,equipo,guardia,civil,estudiar,viajar,manchester,quitar él,tiquitaca,josep,guardiolo,traer él,españa,estilo,juego,pertenecer,español,barça,deber,dejar él,marchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergio,rir,semana,bajo,chutar,balón,oro,alavés,2-0,palma,alavé,aprovechar,jugador,palma,empezar,partido,hora,marcar él,gol,asegurar,victoria,equipo,canario,pedido,federación,dejar,jugar,horario,peninsular,evitar,tipo,situación,getafar,0-0,eibar,empate,cero,público,asistir,estadio,pasar,mayoría,estar,ver,serie,móvil,real,madrid,5-0,sevillar,cristiano,ronaldo,ofrecer,quinto,balón,oro,público,bernabéu,dejar él,ambiente,festivo,vivir,sergio,ramos,chutar,semana,bajo,deportivo,1-0,leganés,equipo,gallego,volver,ganar,partido,árbitro,pitar,confuso,futbolista,local,seguir,jugar,creer él,realmente,ganado,equipo,valencia,2-1,celta,equipo,local,volver,ganar,consolida,clasificación,demostrar,real,madrid,árbitros,favorecer,real,sociedad,0-2,málaga,málaga,resucitar,anoeta,san,sebastián,ciudad,devota,entregado,jugador,blanquiazules,dioses,beti,0-1,atlético,madrid,partido,poner,cuesta,betis,obra,realizar,aledaño,estadio,aprovechar,equipo,visitante,volcar él,portería,adán,llevar él,punto,levante,1-2,athletic,bilbao,precioso,ejemplo,concordia,fraternidad,pueblo,vivido,ciutat,valèncio,gol,partido,meta,demostrar,parte,ceder,llegar,entendimiento,duda,partido,jornada,espectáculo,valor,demostrado,villareal,0-2,barcelona,partido,marcado,polémico,expulsión,canterano,local,dani,rabaseda,cámara,lento,entrada,duro,rebobinar,ver,claramente,jugador,barça,sergio,busquets,propín,patado,jugador,local,catalán,deber,expulsar,espanyol,girona,enfrentar,equipo,catalán,importar,resultado,próximo,querer,resumen,partido,jugar,español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,madrid,envíar,equipo,ojeadores,buscar,punto,bilbao,málago,0-0,levante,partido,saldar,numeroso,herido,mayoría,ingresar,urgencia,ataque,severo,aburrimiento,gol,graduado,escolar,ausente,césped,rosaleda,barcelona,2-2,celta,árbitro,anular,gol,legal,luis,suárez,haber,victoria,barça,demostrar,galicia,ens,robar,conspiración,buscar,mantener,celta,vigo,alto,tabla,precio,atlético,2-1,real,sociedad,equipo,local,conseguir,remontar,partido,épico,minuto,88,apelar,habitual,espíritu,adolf,hitler,sevilla,2-0,deportivo,derrotar,jugador,deportivo,poner,celebrar,eufórico,acabar,partido,demostrar,entender,norma,deporte,athletic,0-0,real,madrid,real,madrid,punto,importante,catedral,portavoz,equipo,blanco,anunciado,mandar,ojeador,semana,tratar,encontrar él,volver,meter él,lucha,liga,leganés,3-1,villareal,leganés,marcar,gol,invertir,bitcoins,minuto,90,triplicado,valor,futbol,listo,jugador,local,demostrar,inteligencia,materio,inversión,merecido,triunfo,getafe,1-0,valencia,valencia,sufrir,derrota,temporado,público,mestalla,preparar,sonoro,pitado,próximo,jornada,soportar,agotado,crédito,marcelino,momento,buscar,entrenador,eibar,3-1,espanyol,gol,jugador,local,canallar,kike,garcía,minuto,partido,encarrilar,victoria,eibar,82,minuto,restante,goleador,dedicar,disfrutar,mil,espectador,jazz,urbano,mejor,chiste,recordar,estadio,ipurua,partido,control,antidopaje,delantero,dar,positivo,cointreau,culpa,liga,santander,partido,domingo,18:30,defender,futbolista,palma,1-0,beti,jugador,canario,llevar,victoria,jugar,equipación,drag-queen,girona,alavés,frío,girona,hombre,encargado,cambiar,número,marcador,negado,subir él,escalero,partido,quedar,empate,rayar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
